Serial Number,Location,Bedrooms,Bathrooms,price(USD),Property Type,owner_id,Start Date,End Date,property_id,max,no_of_occupiers,seeker_id
107,"Heliopolis, Tahrir Street, Building 951, Floor 2",3,1,2200,Flat,27,3/1/2024,11/5/2024,27,4,3,"[525, 816, 251]"
108,"Zamalek, Sphinx Street, Building 78, Floor 9",3,1,3000,Room,574,3/1/2024,9/19/2024,574,4,3,"[845, 427, 851]"
109,"Dokki, Nile Corniche, Building 642, Floor 6",1,3,2000,Flat,618,3/1/2024,1/8/2025,618,3,0,empty
110,"Mohandessin, El Nil Street, Building 901, Floor 4",2,2,2200,Flat,617,3/1/2024,11/24/2024,617,3,1,[676]
111,"Dokki, El Nil Street, Building 436, Floor 3",4,2,1800,Room,760,3/1/2024,8/21/2024,760,2,2,"[473, 804]"
112,"Maadi, Nile Corniche, Building 448, Floor 6",3,2,2800,Room,7,3/1/2024,2/3/2025,7,3,1,[339]
113,"Heliopolis, Sphinx Street, Building 220, Floor 11",1,1,3000,House,455,3/1/2024,1/14/2025,455,4,3,"[352, 232, 106]"
114,"Zamalek, El Nil Street, Building 982, Floor 11",3,2,3000,House,920,3/1/2024,9/7/2024,920,1,0,empty
115,"Dokki, Nile Corniche, Building 445, Floor 4",4,1,2500,Room,587,3/1/2024,9/3/2024,587,1,4,"[135, 290, 715, 683]"
116,"Heliopolis, Sphinx Street, Building 512, Floor 1",1,1,1800,Room,963,3/1/2024,1/22/2025,963,5,4,"[501, 911, 895, 63]"
117,"Zamalek, El Nil Street, Building 950, Floor 4",3,2,2500,House,44,3/1/2024,6/20/2024,44,2,1,[476]
118,"Mohandessin, Tahrir Street, Building 122, Floor 10",2,3,1500,House,63,3/1/2024,10/16/2024,63,5,3,"[747, 755, 835]"
119,"Zamalek, Nile Corniche, Building 794, Floor 8",1,2,1800,Flat,740,3/1/2024,6/4/2024,740,1,0,empty
120,"Zamalek, Sphinx Street, Building 272, Floor 13",1,1,2000,Flat,495,3/1/2024,11/10/2024,495,1,1,[687]
121,"Zamalek, Nile Corniche, Building 659, Floor 13",2,1,1500,Flat,959,3/1/2024,6/24/2024,959,5,4,"[615, 766, 732, 84]"
122,"Dokki, El Nil Street, Building 864, Floor 8",4,1,2000,House,73,3/1/2024,12/21/2024,73,2,1,[119]
123,"Dokki, Tahrir Street, Building 572, Floor 13",4,2,2500,Flat,965,3/1/2024,2/13/2025,965,4,1,[950]
124,"Maadi, Pyramids Street, Building 919, Floor 10",3,1,1500,Flat,183,3/1/2024,1/26/2025,183,3,4,"[885, 305, 87, 359]"
125,"Heliopolis, El Nil Street, Building 817, Floor 10",4,3,1500,House,127,3/1/2024,9/13/2024,127,3,2,"[619, 766]"
126,"Zamalek, Nile Corniche, Building 845, Floor 5",2,3,3000,Flat,836,3/1/2024,6/13/2024,836,1,3,"[352, 505, 208]"
127,"Mohandessin, Nile Corniche, Building 448, Floor 7",4,3,2800,Room,366,3/1/2024,11/24/2024,366,4,4,"[538, 864, 377, 654]"
128,"Mohandessin, Nile Corniche, Building 346, Floor 1",2,2,1500,Room,155,3/1/2024,1/9/2025,155,1,4,"[799, 83, 485, 679]"
129,"Heliopolis, El Nil Street, Building 729, Floor 12",4,2,1500,Room,356,3/1/2024,8/31/2024,356,2,1,[229]
130,"Zamalek, El Nil Street, Building 430, Floor 12",1,1,1500,House,477,3/1/2024,2/20/2025,477,3,1,[250]
131,"Maadi, Nile Corniche, Building 249, Floor 6",2,2,2200,Flat,185,3/1/2024,6/27/2024,185,4,0,empty
132,"Maadi, El Nil Street, Building 565, Floor 13",3,2,2500,Room,95,3/1/2024,12/15/2024,95,5,0,empty
133,"Dokki, Nile Corniche, Building 431, Floor 8",1,3,2000,Room,942,3/1/2024,7/29/2024,942,4,0,empty
134,"Dokki, El Nil Street, Building 984, Floor 1",4,1,2800,Flat,263,3/1/2024,12/27/2024,263,5,2,"[187, 684]"
135,"Dokki, El Nil Street, Building 424, Floor 13",4,1,2000,Room,683,3/1/2024,11/15/2024,683,5,4,"[278, 505, 452, 853]"
136,"Maadi, Pyramids Street, Building 304, Floor 8",4,2,1800,Flat,686,3/1/2024,9/4/2024,686,3,3,"[268, 138, 437]"
137,"Heliopolis, Nile Corniche, Building 157, Floor 1",3,1,2200,Room,597,3/1/2024,11/3/2024,597,2,3,"[692, 447, 225]"
138,"Zamalek, Tahrir Street, Building 864, Floor 6",2,1,2500,Flat,544,3/1/2024,7/22/2024,544,1,4,"[498, 888, 624, 295]"
139,"Dokki, Pyramids Street, Building 308, Floor 5",4,3,2000,Flat,763,3/1/2024,8/8/2024,763,3,0,empty
140,"Mohandessin, Sphinx Street, Building 625, Floor 8",1,3,3000,House,839,3/1/2024,9/14/2024,839,4,4,"[102, 606, 265, 482]"
141,"Dokki, El Nil Street, Building 59, Floor 8",2,2,2000,House,13,3/1/2024,8/23/2024,13,5,0,empty
142,"Heliopolis, Nile Corniche, Building 771, Floor 6",1,1,3000,Flat,718,3/1/2024,1/21/2025,718,5,3,"[863, 770, 9]"
143,"Maadi, Pyramids Street, Building 763, Floor 5",3,2,2200,Flat,532,3/1/2024,10/30/2024,532,2,0,empty
144,"Heliopolis, Pyramids Street, Building 422, Floor 13",2,1,2500,House,468,3/1/2024,9/25/2024,468,5,1,[743]
145,"Maadi, Pyramids Street, Building 1000, Floor 1",2,3,1500,Room,628,3/1/2024,10/16/2024,628,2,2,"[435, 275]"
146,"Zamalek, Nile Corniche, Building 893, Floor 1",1,2,2000,House,140,3/1/2024,10/31/2024,140,2,2,"[832, 744]"
147,"Heliopolis, Pyramids Street, Building 148, Floor 9",2,2,2000,House,221,3/1/2024,8/23/2024,221,3,0,empty
148,"Maadi, Nile Corniche, Building 74, Floor 9",4,3,3000,Room,952,3/1/2024,1/24/2025,952,2,1,[582]
149,"Maadi, Pyramids Street, Building 636, Floor 10",3,3,2000,Flat,619,3/1/2024,12/30/2024,619,5,4,"[19, 472, 737, 105]"
150,"Heliopolis, Tahrir Street, Building 809, Floor 10",2,1,2500,Flat,739,3/1/2024,8/25/2024,739,5,3,"[888, 596, 909]"
151,"Zamalek, Sphinx Street, Building 323, Floor 6",4,2,1500,Room,906,3/1/2024,12/11/2024,906,2,2,"[170, 185]"
152,"Dokki, Tahrir Street, Building 533, Floor 3",1,1,2000,Room,783,3/1/2024,1/5/2025,783,2,1,[834]
153,"Zamalek, Nile Corniche, Building 363, Floor 11",4,3,1500,House,650,3/1/2024,7/8/2024,650,2,2,"[790, 309]"
154,"Heliopolis, Sphinx Street, Building 179, Floor 12",2,3,2500,House,534,3/1/2024,6/13/2024,534,3,0,empty
155,"Heliopolis, Nile Corniche, Building 962, Floor 1",1,1,1500,Flat,823,3/1/2024,8/14/2024,823,2,0,empty
156,"Maadi, El Nil Street, Building 358, Floor 3",1,3,1500,Flat,232,3/1/2024,5/31/2024,232,2,0,empty
157,"Maadi, El Nil Street, Building 458, Floor 6",3,2,1800,Flat,524,3/1/2024,9/30/2024,524,5,4,"[662, 580, 751, 485]"
158,"Zamalek, El Nil Street, Building 881, Floor 5",4,3,2000,Flat,758,3/1/2024,11/27/2024,758,1,2,"[521, 210]"
159,"Dokki, Nile Corniche, Building 181, Floor 6",3,2,2000,Flat,52,3/1/2024,2/6/2025,52,3,1,[53]
160,"Maadi, Tahrir Street, Building 544, Floor 12",2,2,2800,Flat,652,3/1/2024,2/27/2025,652,3,3,"[896, 366, 179]"
161,"Maadi, El Nil Street, Building 192, Floor 6",1,2,3000,House,797,3/1/2024,6/18/2024,797,5,2,"[91, 258]"
162,"Heliopolis, El Nil Street, Building 553, Floor 12",4,3,2200,Room,277,3/1/2024,11/3/2024,277,3,4,"[144, 547, 554, 854]"
163,"Zamalek, Pyramids Street, Building 251, Floor 8",3,1,1500,House,734,3/1/2024,9/17/2024,734,1,2,"[816, 137]"
164,"Heliopolis, Tahrir Street, Building 627, Floor 6",3,2,2200,Room,475,3/1/2024,10/11/2024,475,4,0,empty
165,"Maadi, Nile Corniche, Building 737, Floor 1",3,2,1500,House,10,3/1/2024,8/15/2024,10,4,0,empty
166,"Heliopolis, Pyramids Street, Building 449, Floor 9",1,3,1800,Room,676,3/1/2024,10/12/2024,676,3,2,"[364, 234]"
167,"Heliopolis, El Nil Street, Building 189, Floor 4",3,2,2000,Flat,5,3/1/2024,7/6/2024,5,4,0,empty
168,"Heliopolis, Tahrir Street, Building 248, Floor 11",3,3,1800,Flat,340,3/1/2024,9/7/2024,340,1,4,"[969, 344, 608, 623]"
169,"Heliopolis, Sphinx Street, Building 598, Floor 10",1,2,2800,Flat,958,3/1/2024,12/11/2024,958,4,3,"[693, 450, 416]"
170,"Dokki, Pyramids Street, Building 751, Floor 1",2,3,1800,Flat,441,3/1/2024,8/27/2024,441,1,0,empty
171,"Heliopolis, Sphinx Street, Building 317, Floor 3",2,1,2200,House,933,3/1/2024,9/1/2024,933,3,1,[441]
172,"Dokki, El Nil Street, Building 719, Floor 1",1,1,1800,Room,205,3/1/2024,7/21/2024,205,1,3,"[906, 744, 409]"
173,"Mohandessin, Tahrir Street, Building 743, Floor 5",4,1,2200,Flat,615,3/1/2024,7/31/2024,615,3,4,"[984, 222, 203, 603]"
174,"Heliopolis, Sphinx Street, Building 661, Floor 8",2,2,1800,Room,154,3/1/2024,1/10/2025,154,4,4,"[417, 255, 658, 129]"
175,"Maadi, Nile Corniche, Building 491, Floor 4",4,1,2800,Room,533,3/1/2024,10/27/2024,533,1,1,[660]
176,"Dokki, Sphinx Street, Building 184, Floor 9",2,2,1500,Room,964,3/1/2024,12/20/2024,964,4,4,"[458, 941, 772, 426]"
177,"Mohandessin, Sphinx Street, Building 872, Floor 3",4,2,2500,Flat,89,3/1/2024,8/13/2024,89,3,1,[81]
178,"Heliopolis, Nile Corniche, Building 448, Floor 10",2,1,2000,House,156,3/1/2024,2/8/2025,156,3,1,[898]
179,"Heliopolis, Nile Corniche, Building 774, Floor 8",2,1,2200,Room,877,3/1/2024,11/27/2024,877,2,4,"[762, 433, 361, 540]"
180,"Dokki, El Nil Street, Building 329, Floor 3",3,3,2200,Flat,996,3/1/2024,8/7/2024,996,1,4,"[720, 835, 330, 341]"
181,"Maadi, Pyramids Street, Building 384, Floor 7",3,3,2200,House,228,3/1/2024,9/28/2024,228,5,1,[70]
182,"Mohandessin, El Nil Street, Building 470, Floor 4",2,3,2000,Flat,253,3/1/2024,12/27/2024,253,4,3,"[4, 747, 778]"
183,"Dokki, Tahrir Street, Building 809, Floor 9",1,2,2200,Flat,314,3/1/2024,8/6/2024,314,4,3,"[885, 316, 520]"
184,"Mohandessin, El Nil Street, Building 786, Floor 6",1,3,2000,Flat,424,3/1/2024,1/5/2025,424,1,0,empty
185,"Heliopolis, Nile Corniche, Building 904, Floor 7",4,2,1500,Room,722,3/1/2024,12/28/2024,722,3,3,"[896, 700, 435]"
186,"Mohandessin, Nile Corniche, Building 730, Floor 10",1,3,2800,House,116,3/1/2024,1/19/2025,116,3,2,"[466, 409]"
187,"Heliopolis, El Nil Street, Building 309, Floor 2",3,3,3000,Room,119,3/1/2024,10/23/2024,119,3,3,"[869, 543, 766]"
188,"Maadi, Sphinx Street, Building 523, Floor 9",4,3,2800,Flat,259,3/1/2024,6/19/2024,259,3,0,empty
189,"Maadi, Nile Corniche, Building 257, Floor 4",4,3,2800,Room,326,3/1/2024,8/5/2024,326,2,4,"[979, 114, 621, 501]"
190,"Mohandessin, El Nil Street, Building 909, Floor 8",2,2,3000,Room,290,3/1/2024,12/24/2024,290,3,1,[722]
191,"Mohandessin, El Nil Street, Building 625, Floor 3",2,3,2200,Flat,508,3/1/2024,1/12/2025,508,4,4,"[14, 484, 682, 770]"
192,"Zamalek, El Nil Street, Building 672, Floor 1",4,3,3000,Room,370,3/1/2024,1/20/2025,370,1,1,[506]
193,"Heliopolis, Nile Corniche, Building 933, Floor 4",2,1,2000,Room,956,3/1/2024,2/25/2025,956,3,4,"[928, 112, 362, 367]"
194,"Dokki, Tahrir Street, Building 156, Floor 7",2,3,2800,Room,610,3/1/2024,12/16/2024,610,3,1,[658]
195,"Heliopolis, Nile Corniche, Building 543, Floor 1",1,2,2800,House,15,3/1/2024,1/19/2025,15,4,3,"[612, 296, 494]"
196,"Mohandessin, Tahrir Street, Building 659, Floor 1",4,2,3000,Flat,677,3/1/2024,6/16/2024,677,3,3,"[292, 905, 529]"
197,"Zamalek, Pyramids Street, Building 588, Floor 4",4,2,3000,Flat,788,3/1/2024,8/18/2024,788,4,0,empty
198,"Mohandessin, Nile Corniche, Building 36, Floor 4",1,2,1500,Flat,325,3/1/2024,10/31/2024,325,5,0,empty
199,"Maadi, Pyramids Street, Building 245, Floor 9",2,3,3000,Flat,463,3/1/2024,8/31/2024,463,5,1,[845]
200,"Heliopolis, Sphinx Street, Building 245, Floor 2",2,2,1500,Room,367,3/1/2024,8/9/2024,367,1,0,empty
201,"Zamalek, Tahrir Street, Building 829, Floor 6",3,1,2000,House,368,3/1/2024,8/1/2024,368,2,0,empty
202,"Mohandessin, Nile Corniche, Building 642, Floor 2",1,3,2200,House,748,3/1/2024,12/4/2024,748,4,2,"[236, 126]"
