Serial Number,Location,Bedrooms,Bathrooms,price(USD),Property Type,owner_id,Start Date,End Date,property_id,max,no_of_occupiers,seeker_id
39,"Heliopolis, Nile Corniche, Building 241, Floor 7",1,2,2000,House,237,2024-03-01,2024-09-14,237,5,2,"[224, 997]"
40,"Dokki, Pyramids Street, Building 491, Floor 12",2,3,3000,House,885,2024-03-01,2024-07-18,885,1,4,"[793, 118, 94, 113]"
41,"Mohandessin, Pyramids Street, Building 698, Floor 3",4,2,1500,Room,196,2024-03-01,2024-06-20,196,3,4,"[785, 976, 66, 706]"
42,"Mohandessin, Pyramids Street, Building 129, Floor 6",2,3,2000,House,255,2024-03-01,2024-10-25,255,3,2,"[303, 728]"
43,"Zamalek, Tahrir Street, Building 7, Floor 4",1,2,1800,Room,794,2024-03-01,2024-09-06,794,4,0,
44,"Heliopolis, Nile Corniche, Building 288, Floor 13",2,3,3000,House,506,2024-03-01,2025-01-17,506,3,0,
45,"Zamalek, El Nil Street, Building 606, Floor 2",4,2,1500,Flat,122,2024-03-01,2024-08-09,122,3,2,"[743, 916]"
46,"Maadi, Tahrir Street, Building 509, Floor 11",2,1,1800,Flat,966,2024-03-01,2024-07-13,966,4,2,"[317, 208]"
47,"Dokki, Pyramids Street, Building 953, Floor 6",1,1,2200,Room,795,2024-03-01,2024-08-09,795,1,4,"[708, 521, 645, 319]"
48,"Dokki, Nile Corniche, Building 332, Floor 3",4,2,1800,Flat,655,2024-03-01,2024-08-08,655,1,4,"[619, 438, 551, 783]"
49,"Dokki, Nile Corniche, Building 865, Floor 3",3,1,1800,Flat,792,2024-03-01,2024-06-10,792,5,4,"[383, 293, 276, 325]"
50,"Zamalek, Tahrir Street, Building 204, Floor 10",2,3,2500,House,689,2024-03-01,2024-08-21,689,4,4,"[273, 956, 892, 290]"
51,"Zamalek, El Nil Street, Building 776, Floor 2",4,1,2500,Flat,120,2024-03-01,2024-10-07,120,1,0,
52,"Mohandessin, Tahrir Street, Building 796, Floor 11",1,3,2800,House,976,2024-03-01,2025-02-16,976,4,2,"[214, 201]"
53,"Mohandessin, Pyramids Street, Building 727, Floor 3",2,2,3000,Room,320,2024-03-01,2024-09-07,320,1,2,"[806, 188]"
54,"Zamalek, Pyramids Street, Building 646, Floor 8",4,2,2200,Flat,687,2024-03-01,2024-11-18,687,5,2,"[930, 434]"
55,"Dokki, El Nil Street, Building 279, Floor 11",2,3,2800,Room,315,2024-03-01,2024-05-30,315,4,0,
56,"Mohandessin, Nile Corniche, Building 141, Floor 10",4,3,3000,House,68,2024-03-01,2024-07-01,68,3,4,"[651, 119, 741, 464]"
57,"Maadi, Tahrir Street, Building 46, Floor 2",4,1,2000,Room,592,2024-03-01,2024-05-30,592,2,2,"[268, 119]"
58,"Mohandessin, Pyramids Street, Building 788, Floor 2",4,2,1500,Room,29,2024-03-01,2025-02-23,29,5,1,[659]
59,"Heliopolis, Nile Corniche, Building 251, Floor 11",4,1,1500,House,669,2024-03-01,2024-11-23,669,2,4,"[247, 582, 132, 202]"
60,"Dokki, Sphinx Street, Building 351, Floor 7",2,3,2200,Flat,824,2024-03-01,2024-12-03,824,3,2,"[812, 691]"
61,"Maadi, Sphinx Street, Building 592, Floor 1",4,2,1800,Flat,389,2024-03-01,2024-11-10,389,1,0,
62,"Maadi, Sphinx Street, Building 905, Floor 11",1,3,2200,House,680,2024-03-01,2024-06-28,680,2,2,"[637, 141]"
63,"Heliopolis, Pyramids Street, Building 758, Floor 9",2,1,1500,Flat,947,2024-03-01,2024-09-28,947,1,0,
64,"Maadi, Pyramids Street, Building 666, Floor 11",4,1,3000,Flat,728,2024-03-01,2024-11-22,728,3,1,[934]
65,"Dokki, Sphinx Street, Building 81, Floor 2",4,1,2800,Flat,897,2024-03-01,2024-11-17,897,5,2,"[711, 147]"
66,"Maadi, Nile Corniche, Building 837, Floor 6",1,1,1800,Room,339,2024-03-01,2025-01-15,339,4,0,
67,"Zamalek, Nile Corniche, Building 755, Floor 5",2,3,2500,Room,239,2024-03-01,2024-09-17,239,4,0,
68,"Maadi, Sphinx Street, Building 15, Floor 12",2,2,1500,House,293,2024-03-01,2024-09-07,293,4,4,"[739, 160, 736, 964]"
69,"Mohandessin, Tahrir Street, Building 369, Floor 7",3,2,2500,Room,37,2024-03-01,2025-02-12,37,5,2,"[118, 99]"
70,"Dokki, Tahrir Street, Building 431, Floor 3",3,3,3000,Room,147,2024-03-01,2025-02-17,147,1,2,"[768, 999]"
71,"Heliopolis, Tahrir Street, Building 583, Floor 10",4,1,3000,House,349,2024-03-01,2024-07-01,349,5,4,"[992, 210, 476, 902]"
72,"Heliopolis, Nile Corniche, Building 797, Floor 12",4,3,2500,Room,199,2024-03-01,2024-07-23,199,3,3,"[649, 167, 94]"
73,"Dokki, Pyramids Street, Building 149, Floor 6",4,1,2000,Room,480,2024-03-01,2024-07-05,480,1,0,
74,"Dokki, Nile Corniche, Building 906, Floor 7",4,3,2500,Room,422,2024-03-01,2024-09-13,422,4,2,"[84, 227]"
75,"Heliopolis, Tahrir Street, Building 289, Floor 10",3,3,2500,House,3,2024-03-01,2024-09-29,3,4,1,[348]
76,"Mohandessin, Sphinx Street, Building 379, Floor 12",2,2,3000,Flat,664,2024-03-01,2024-06-06,664,1,2,"[414, 238]"
77,"Heliopolis, Sphinx Street, Building 420, Floor 10",3,3,3000,Room,822,2024-03-01,2024-11-13,822,3,4,"[910, 355, 878, 725]"
78,"Maadi, Nile Corniche, Building 56, Floor 2",4,3,2500,Flat,798,2024-03-01,2024-06-27,798,2,1,[656]
79,"Zamalek, Pyramids Street, Building 468, Floor 4",1,1,3000,House,409,2024-03-01,2024-08-23,409,5,1,[987]
80,"Dokki, El Nil Street, Building 941, Floor 11",3,3,2500,Room,545,2024-03-01,2024-09-19,545,5,4,"[326, 838, 233, 382]"
81,"Dokki, El Nil Street, Building 577, Floor 1",1,2,3000,Room,261,2024-03-01,2024-07-31,261,2,3,"[725, 82, 521]"
82,"Dokki, Sphinx Street, Building 311, Floor 1",3,1,2800,House,395,2024-03-01,2024-07-01,395,3,3,"[909, 364, 950]"
83,"Zamalek, Sphinx Street, Building 457, Floor 13",1,2,3000,House,415,2024-03-01,2024-06-14,415,3,2,"[119, 175]"
84,"Dokki, Pyramids Street, Building 197, Floor 6",1,2,1800,Room,171,2024-03-01,2025-01-11,171,4,2,"[539, 390]"
85,"Maadi, El Nil Street, Building 993, Floor 7",3,1,2500,Room,820,2024-03-01,2024-08-16,820,4,3,"[230, 116, 419]"
86,"Mohandessin, Pyramids Street, Building 478, Floor 8",1,1,1500,House,711,2024-03-01,2024-08-22,711,3,3,"[178, 229, 483]"
87,"Maadi, Sphinx Street, Building 493, Floor 8",4,2,1500,Room,219,2024-03-01,2024-09-29,219,3,3,"[450, 621, 781]"
88,"Maadi, Sphinx Street, Building 131, Floor 3",2,1,2500,Room,571,2024-03-01,2025-02-09,571,4,3,"[839, 884, 258]"
89,"Mohandessin, Nile Corniche, Building 906, Floor 10",1,1,2200,Room,504,2024-03-01,2024-06-11,504,1,1,[709]
90,"Maadi, Tahrir Street, Building 898, Floor 2",4,2,2000,House,918,2024-03-01,2024-07-13,918,5,2,"[677, 819]"
91,"Heliopolis, El Nil Street, Building 7, Floor 1",3,2,2500,House,271,2024-03-01,2024-09-05,271,2,2,"[104, 847]"
92,"Maadi, Tahrir Street, Building 478, Floor 9",3,2,2000,House,502,2024-03-01,2024-06-10,502,5,1,[997]
93,"Dokki, El Nil Street, Building 427, Floor 10",3,1,1800,House,825,2024-03-01,2024-06-07,825,3,4,"[467, 955, 922, 915]"
94,"Maadi, Pyramids Street, Building 121, Floor 6",1,1,1800,House,250,2024-03-01,2024-08-23,250,1,4,"[966, 625, 656, 316]"
95,"Maadi, Nile Corniche, Building 990, Floor 7",4,3,3000,Room,50,2024-03-01,2024-12-27,50,3,4,"[232, 60, 926, 174]"
96,"Heliopolis, Pyramids Street, Building 681, Floor 5",1,1,3000,Flat,847,2024-03-01,2024-06-21,847,1,4,"[959, 717, 572, 576]"
97,"Maadi, Sphinx Street, Building 739, Floor 3",2,3,2500,Flat,152,2024-03-01,2024-12-01,152,4,4,"[71, 634, 274, 960]"
98,"Zamalek, Pyramids Street, Building 841, Floor 10",3,1,1500,Room,206,2024-03-01,2025-02-24,206,1,4,"[498, 600, 437, 794]"
99,"Heliopolis, Tahrir Street, Building 235, Floor 11",1,1,3000,Room,381,2024-03-01,2025-02-13,381,5,1,[248]
100,"Dokki, El Nil Street, Building 2, Floor 3",1,2,2800,House,432,2024-03-01,2024-10-11,432,2,3,"[37, 899, 64]"
101,"Heliopolis, Nile Corniche, Building 783, Floor 8",3,3,2800,Flat,776,2024-03-01,2024-07-06,776,3,4,"[11, 783, 483, 916]"
102,"Mohandessin, Nile Corniche, Building 245, Floor 12",2,3,1800,Flat,988,2024-03-01,2025-01-18,988,5,1,[742]
103,"Heliopolis, Tahrir Street, Building 223, Floor 9",2,3,3000,Flat,668,2024-03-01,2024-11-21,668,4,3,"[786, 300, 37]"
104,"Zamalek, Sphinx Street, Building 312, Floor 2",3,2,2000,Flat,775,2024-03-01,2024-10-28,775,4,3,"[368, 792, 513]"
105,"Maadi, Pyramids Street, Building 448, Floor 10",1,1,1800,Room,270,2024-03-01,2024-10-08,270,2,2,"[228, 626]"
106,"Mohandessin, Pyramids Street, Building 819, Floor 8",2,3,2500,Room,781,2024-03-01,2024-11-19,781,1,1,[848]
107,"Heliopolis, Tahrir Street, Building 951, Floor 2",3,1,2200,Flat,27,2024-03-01,2024-11-05,27,4,2,"[610, 551]"
108,"Zamalek, Sphinx Street, Building 78, Floor 9",3,1,3000,Room,574,2024-03-01,2024-09-19,574,4,0,
109,"Dokki, Nile Corniche, Building 642, Floor 6",1,3,2000,Flat,618,2024-03-01,2025-01-08,618,3,1,[694]
110,"Mohandessin, El Nil Street, Building 901, Floor 4",2,2,2200,Flat,617,2024-03-01,2024-11-24,617,3,1,[654]
111,"Dokki, El Nil Street, Building 436, Floor 3",4,2,1800,Room,760,2024-03-01,2024-08-21,760,2,0,
112,"Maadi, Nile Corniche, Building 448, Floor 6",3,2,2800,Room,7,2024-03-01,2025-02-03,7,3,4,"[917, 546, 951, 88]"
113,"Heliopolis, Sphinx Street, Building 220, Floor 11",1,1,3000,House,455,2024-03-01,2025-01-14,455,4,2,"[216, 481]"
114,"Zamalek, El Nil Street, Building 982, Floor 11",3,2,3000,House,920,2024-03-01,2024-09-07,920,1,2,"[198, 152]"
115,"Dokki, Nile Corniche, Building 445, Floor 4",4,1,2500,Room,587,2024-03-01,2024-09-03,587,1,2,"[602, 780]"
116,"Heliopolis, Sphinx Street, Building 512, Floor 1",1,1,1800,Room,963,2024-03-01,2025-01-22,963,5,1,[919]
117,"Zamalek, El Nil Street, Building 950, Floor 4",3,2,2500,House,44,2024-03-01,2024-06-20,44,2,1,[114]
118,"Mohandessin, Tahrir Street, Building 122, Floor 10",2,3,1500,House,63,2024-03-01,2024-10-16,63,5,2,"[697, 488]"
119,"Zamalek, Nile Corniche, Building 794, Floor 8",1,2,1800,Flat,740,2024-03-01,2024-06-04,740,1,2,"[355, 646]"
120,"Zamalek, Sphinx Street, Building 272, Floor 13",1,1,2000,Flat,495,2024-03-01,2024-11-10,495,1,2,"[809, 263]"
121,"Zamalek, Nile Corniche, Building 659, Floor 13",2,1,1500,Flat,959,2024-03-01,2024-06-24,959,5,2,"[854, 311]"
122,"Dokki, El Nil Street, Building 864, Floor 8",4,1,2000,House,73,2024-03-01,2024-12-21,73,2,1,[752]
123,"Dokki, Tahrir Street, Building 572, Floor 13",4,2,2500,Flat,965,2024-03-01,2025-02-13,965,4,1,[493]
124,"Maadi, Pyramids Street, Building 919, Floor 10",3,1,1500,Flat,183,2024-03-01,2025-01-26,183,3,4,"[10, 492, 16, 211]"
125,"Heliopolis, El Nil Street, Building 817, Floor 10",4,3,1500,House,127,2024-03-01,2024-09-13,127,3,0,
126,"Zamalek, Nile Corniche, Building 845, Floor 5",2,3,3000,Flat,836,2024-03-01,2024-06-13,836,1,0,
127,"Mohandessin, Nile Corniche, Building 448, Floor 7",4,3,2800,Room,366,2024-03-01,2024-11-24,366,4,3,"[979, 797, 227]"
128,"Mohandessin, Nile Corniche, Building 346, Floor 1",2,2,1500,Room,155,2024-03-01,2025-01-09,155,1,1,[76]
129,"Heliopolis, El Nil Street, Building 729, Floor 12",4,2,1500,Room,356,2024-03-01,2024-08-31,356,2,3,"[11, 504, 81]"
130,"Zamalek, El Nil Street, Building 430, Floor 12",1,1,1500,House,477,2024-03-01,2025-02-20,477,3,2,"[325, 132]"
131,"Maadi, Nile Corniche, Building 249, Floor 6",2,2,2200,Flat,185,2024-03-01,2024-06-27,185,4,2,"[720, 547]"
132,"Maadi, El Nil Street, Building 565, Floor 13",3,2,2500,Room,95,2024-03-01,2024-12-15,95,5,0,
133,"Dokki, Nile Corniche, Building 431, Floor 8",1,3,2000,Room,942,2024-03-01,2024-07-29,942,4,3,"[599, 609, 842]"
134,"Dokki, El Nil Street, Building 984, Floor 1",4,1,2800,Flat,263,2024-03-01,2024-12-27,263,5,2,"[710, 310]"
135,"Dokki, El Nil Street, Building 424, Floor 13",4,1,2000,Room,683,2024-03-01,2024-11-15,683,5,4,"[966, 252, 367, 976]"
136,"Maadi, Pyramids Street, Building 304, Floor 8",4,2,1800,Flat,686,2024-03-01,2024-09-04,686,3,3,"[816, 779, 537]"
137,"Heliopolis, Nile Corniche, Building 157, Floor 1",3,1,2200,Room,597,2024-03-01,2024-11-03,597,2,3,"[711, 103, 452]"
138,"Zamalek, Tahrir Street, Building 864, Floor 6",2,1,2500,Flat,544,2024-03-01,2024-07-22,544,1,3,"[656, 926, 890]"
139,"Dokki, Pyramids Street, Building 308, Floor 5",4,3,2000,Flat,763,2024-03-01,2024-08-08,763,3,0,
140,"Mohandessin, Sphinx Street, Building 625, Floor 8",1,3,3000,House,839,2024-03-01,2024-09-14,839,4,4,"[630, 591, 945, 891]"
141,"Dokki, El Nil Street, Building 59, Floor 8",2,2,2000,House,13,2024-03-01,2024-08-23,13,5,1,[26]
142,"Heliopolis, Nile Corniche, Building 771, Floor 6",1,1,3000,Flat,718,2024-03-01,2025-01-21,718,5,2,"[18, 453]"
143,"Maadi, Pyramids Street, Building 763, Floor 5",3,2,2200,Flat,532,2024-03-01,2024-10-30,532,2,2,"[487, 820]"
144,"Heliopolis, Pyramids Street, Building 422, Floor 13",2,1,2500,House,468,2024-03-01,2024-09-25,468,5,0,
145,"Maadi, Pyramids Street, Building 1000, Floor 1",2,3,1500,Room,628,2024-03-01,2024-10-16,628,2,2,"[179, 773]"
146,"Zamalek, Nile Corniche, Building 893, Floor 1",1,2,2000,House,140,2024-03-01,2024-10-31,140,2,1,[618]
147,"Heliopolis, Pyramids Street, Building 148, Floor 9",2,2,2000,House,221,2024-03-01,2024-08-23,221,3,0,
148,"Maadi, Nile Corniche, Building 74, Floor 9",4,3,3000,Room,952,2024-03-01,2025-01-24,952,2,1,[916]
149,"Maadi, Pyramids Street, Building 636, Floor 10",3,3,2000,Flat,619,2024-03-01,2024-12-30,619,5,1,[749]
150,"Heliopolis, Tahrir Street, Building 809, Floor 10",2,1,2500,Flat,739,2024-03-01,2024-08-25,739,5,0,
151,"Zamalek, Sphinx Street, Building 323, Floor 6",4,2,1500,Room,906,2024-03-01,2024-12-11,906,2,1,[733]
152,"Dokki, Tahrir Street, Building 533, Floor 3",1,1,2000,Room,783,2024-03-01,2025-01-05,783,2,2,"[357, 255]"
153,"Zamalek, Nile Corniche, Building 363, Floor 11",4,3,1500,House,650,2024-03-01,2024-07-08,650,2,3,"[17, 459, 37]"
154,"Heliopolis, Sphinx Street, Building 179, Floor 12",2,3,2500,House,534,2024-03-01,2024-06-13,534,3,3,"[788, 525, 842]"
155,"Heliopolis, Nile Corniche, Building 962, Floor 1",1,1,1500,Flat,823,2024-03-01,2024-08-14,823,2,2,"[644, 937]"
156,"Maadi, El Nil Street, Building 358, Floor 3",1,3,1500,Flat,232,2024-03-01,2024-05-31,232,2,0,
157,"Maadi, El Nil Street, Building 458, Floor 6",3,2,1800,Flat,524,2024-03-01,2024-09-30,524,5,2,"[323, 520]"
158,"Zamalek, El Nil Street, Building 881, Floor 5",4,3,2000,Flat,758,2024-03-01,2024-11-27,758,1,4,"[102, 465, 415, 834]"
159,"Dokki, Nile Corniche, Building 181, Floor 6",3,2,2000,Flat,52,2024-03-01,2025-02-06,52,3,1,[987]
160,"Maadi, Tahrir Street, Building 544, Floor 12",2,2,2800,Flat,652,2024-03-01,2025-02-27,652,3,0,
161,"Maadi, El Nil Street, Building 192, Floor 6",1,2,3000,House,797,2024-03-01,2024-06-18,797,5,4,"[514, 79, 268, 397]"
162,"Heliopolis, El Nil Street, Building 553, Floor 12",4,3,2200,Room,277,2024-03-01,2024-11-03,277,3,4,"[221, 256, 178, 266]"
163,"Zamalek, Pyramids Street, Building 251, Floor 8",3,1,1500,House,734,2024-03-01,2024-09-17,734,1,0,
164,"Heliopolis, Tahrir Street, Building 627, Floor 6",3,2,2200,Room,475,2024-03-01,2024-10-11,475,4,2,"[938, 221]"
165,"Maadi, Nile Corniche, Building 737, Floor 1",3,2,1500,House,10,2024-03-01,2024-08-15,10,4,4,"[448, 148, 872, 395]"
166,"Heliopolis, Pyramids Street, Building 449, Floor 9",1,3,1800,Room,676,2024-03-01,2024-10-12,676,3,1,[372]
167,"Heliopolis, El Nil Street, Building 189, Floor 4",3,2,2000,Flat,5,2024-03-01,2024-07-06,5,4,3,"[918, 916, 386]"
168,"Heliopolis, Tahrir Street, Building 248, Floor 11",3,3,1800,Flat,340,2024-03-01,2024-09-07,340,1,1,[285]
169,"Heliopolis, Sphinx Street, Building 598, Floor 10",1,2,2800,Flat,958,2024-03-01,2024-12-11,958,4,3,"[79, 547, 206]"
170,"Dokki, Pyramids Street, Building 751, Floor 1",2,3,1800,Flat,441,2024-03-01,2024-08-27,441,1,1,[591]
171,"Heliopolis, Sphinx Street, Building 317, Floor 3",2,1,2200,House,933,2024-03-01,2024-09-01,933,3,3,"[342, 746, 50]"
172,"Dokki, El Nil Street, Building 719, Floor 1",1,1,1800,Room,205,2024-03-01,2024-07-21,205,1,1,[629]
173,"Mohandessin, Tahrir Street, Building 743, Floor 5",4,1,2200,Flat,615,2024-03-01,2024-07-31,615,3,2,"[909, 431]"
174,"Heliopolis, Sphinx Street, Building 661, Floor 8",2,2,1800,Room,154,2024-03-01,2025-01-10,154,4,3,"[943, 643, 741]"
175,"Maadi, Nile Corniche, Building 491, Floor 4",4,1,2800,Room,533,2024-03-01,2024-10-27,533,1,3,"[635, 885, 972]"
176,"Dokki, Sphinx Street, Building 184, Floor 9",2,2,1500,Room,964,2024-03-01,2024-12-20,964,4,4,"[282, 927, 442, 375]"
177,"Mohandessin, Sphinx Street, Building 872, Floor 3",4,2,2500,Flat,89,2024-03-01,2024-08-13,89,3,4,"[216, 914, 593, 964]"
178,"Heliopolis, Nile Corniche, Building 448, Floor 10",2,1,2000,House,156,2024-03-01,2025-02-08,156,3,0,
179,"Heliopolis, Nile Corniche, Building 774, Floor 8",2,1,2200,Room,877,2024-03-01,2024-11-27,877,2,1,[939]
180,"Dokki, El Nil Street, Building 329, Floor 3",3,3,2200,Flat,996,2024-03-01,2024-08-07,996,1,1,[361]
181,"Maadi, Pyramids Street, Building 384, Floor 7",3,3,2200,House,228,2024-03-01,2024-09-28,228,5,0,
182,"Mohandessin, El Nil Street, Building 470, Floor 4",2,3,2000,Flat,253,2024-03-01,2024-12-27,253,4,3,"[940, 892, 663]"
183,"Dokki, Tahrir Street, Building 809, Floor 9",1,2,2200,Flat,314,2024-03-01,2024-08-06,314,4,3,"[696, 740, 262]"
184,"Mohandessin, El Nil Street, Building 786, Floor 6",1,3,2000,Flat,424,2024-03-01,2025-01-05,424,1,0,
185,"Heliopolis, Nile Corniche, Building 904, Floor 7",4,2,1500,Room,722,2024-03-01,2024-12-28,722,3,1,[913]
186,"Mohandessin, Nile Corniche, Building 730, Floor 10",1,3,2800,House,116,2024-03-01,2025-01-19,116,3,1,[341]
187,"Heliopolis, El Nil Street, Building 309, Floor 2",3,3,3000,Room,119,2024-03-01,2024-10-23,119,3,3,"[571, 414, 896]"
188,"Maadi, Sphinx Street, Building 523, Floor 9",4,3,2800,Flat,259,2024-03-01,2024-06-19,259,3,4,"[851, 442, 893, 526]"
189,"Maadi, Nile Corniche, Building 257, Floor 4",4,3,2800,Room,326,2024-03-01,2024-08-05,326,2,1,[875]
190,"Mohandessin, El Nil Street, Building 909, Floor 8",2,2,3000,Room,290,2024-03-01,2024-12-24,290,3,4,"[602, 633, 546, 46]"
191,"Mohandessin, El Nil Street, Building 625, Floor 3",2,3,2200,Flat,508,2024-03-01,2025-01-12,508,4,0,
192,"Zamalek, El Nil Street, Building 672, Floor 1",4,3,3000,Room,370,2024-03-01,2025-01-20,370,1,0,
193,"Heliopolis, Nile Corniche, Building 933, Floor 4",2,1,2000,Room,956,2024-03-01,2025-02-25,956,3,1,[530]
194,"Dokki, Tahrir Street, Building 156, Floor 7",2,3,2800,Room,610,2024-03-01,2024-12-16,610,3,1,[135]
195,"Heliopolis, Nile Corniche, Building 543, Floor 1",1,2,2800,House,15,2024-03-01,2025-01-19,15,4,2,"[485, 496]"
196,"Mohandessin, Tahrir Street, Building 659, Floor 1",4,2,3000,Flat,677,2024-03-01,2024-06-16,677,3,1,[812]
197,"Zamalek, Pyramids Street, Building 588, Floor 4",4,2,3000,Flat,788,2024-03-01,2024-08-18,788,4,4,"[757, 187, 608, 468]"
198,"Mohandessin, Nile Corniche, Building 36, Floor 4",1,2,1500,Flat,325,2024-03-01,2024-10-31,325,5,1,[66]
199,"Maadi, Pyramids Street, Building 245, Floor 9",2,3,3000,Flat,463,2024-03-01,2024-08-31,463,5,3,"[106, 347, 180]"
200,"Heliopolis, Sphinx Street, Building 245, Floor 2",2,2,1500,Room,367,2024-03-01,2024-08-09,367,1,3,"[159, 658, 404]"
201,"Zamalek, Tahrir Street, Building 829, Floor 6",3,1,2000,House,368,2024-03-01,2024-08-01,368,2,1,[490]
202,"Mohandessin, Nile Corniche, Building 642, Floor 2",1,3,2200,House,748,2024-03-01,2024-12-04,748,4,4,"[896, 914, 722, 869]"
203,"Heliopolis, Tahrir Street, Building 416, Floor 2",1,2,3000,Room,667,2024-03-01,2024-07-05,667,5,3,"[666, 477, 575]"
